FECHA,AÑO,DÍA_SEMANA,MES,SEMANA,DÍA_FESTIVO,DÍA_DE_MADRES,DICIEMBRE_24,DICIEMBRE_31,PREDICCIÓN_CHOQUES_SEMANAL
2020-01-05,2020,3,1,1,1,0,0,0,223.4340331890332
2020-01-12,2020,1,1,2,1,0,0,0,422.6374145021645
2020-01-19,2020,1,1,3,0,0,0,0,552.0159812409812
2020-01-26,2020,1,1,4,0,0,0,0,556.0358903318903
2020-02-02,2020,1,1,5,0,0,0,0,531.0946071428572
2020-02-09,2020,1,2,6,0,0,0,0,581.7346955266955
2020-02-16,2020,1,2,7,0,0,0,0,624.9037380952382
2020-02-23,2020,1,2,8,0,0,0,0,614.4822157287157
2020-03-01,2020,1,2,9,0,0,0,0,582.5684325396826
2020-03-08,2020,1,3,10,0,0,0,0,586.8057976190476
2020-03-15,2020,1,3,11,0,0,0,0,582.1303239538239
2020-03-22,2020,1,3,12,0,0,0,0,559.9282608225109
2020-03-29,2020,1,3,13,1,0,0,0,499.26195057720054
2020-04-05,2020,1,3,14,0,0,0,0,582.6224206349207
2020-04-12,2020,1,4,15,0,0,0,0,450.3537619047619
2020-04-19,2020,1,4,16,0,0,0,0,564.7101143578644
2020-04-26,2020,1,4,17,0,0,0,0,625.4581291486292
2020-05-03,2020,1,4,18,0,0,0,0,577.7283064435564
2020-05-10,2020,1,5,19,0,0,0,0,602.1140277777778
2020-05-17,2020,1,5,20,0,0,0,0,617.8889377289377
2020-05-24,2020,1,5,21,0,0,0,0,578.8291583694083
2020-05-31,2020,1,5,22,1,0,0,0,517.2510746753246
2020-06-07,2020,1,6,23,0,0,0,0,580.8184007936508
2020-06-14,2020,1,6,24,0,0,0,0,587.9641944444444
2020-06-21,2020,1,6,25,1,0,0,0,519.6080746753247
2020-06-28,2020,1,6,26,1,0,0,0,467.1125634920636
2020-07-05,2020,1,6,27,1,0,0,0,502.92153210678214
2020-07-12,2020,1,7,28,0,0,0,0,569.0978322788322
2020-07-19,2020,1,7,29,0,0,0,0,589.3956875901877
2020-07-26,2020,1,7,30,1,0,0,0,544.8938614441115
2020-08-02,2020,1,7,31,0,0,0,0,614.3077994227995
2020-08-09,2020,1,8,32,0,0,0,0,597.7943579198579
2020-08-16,2020,1,8,33,0,0,0,0,609.2374794372295
2020-08-23,2020,1,8,34,1,0,0,0,532.3197273559773
2020-08-30,2020,1,8,35,0,0,0,0,557.5299150294151
2020-09-06,2020,1,8,36,0,0,0,0,592.6080959595959
2020-09-13,2020,1,9,37,0,0,0,0,603.6918576978577
2020-09-20,2020,1,9,38,0,0,0,0,606.036537878788
2020-09-27,2020,1,9,39,0,0,0,0,572.4122427849928
2020-10-04,2020,1,9,40,0,0,0,0,613.0399523809524
2020-10-11,2020,1,10,41,0,0,0,0,556.9983744033744
2020-10-18,2020,1,10,42,1,0,0,0,531.8431523754024
2020-10-25,2020,1,10,43,0,0,0,0,577.1666598124099
2020-11-01,2020,1,10,44,0,0,0,0,604.6035844155845
2020-11-08,2020,1,11,45,1,0,0,0,517.8233415473416
2020-11-15,2020,1,11,46,0,0,0,0,608.6828336940837
2020-11-22,2020,1,11,47,1,0,0,0,532.0825713730713
2020-11-29,2020,1,11,48,0,0,0,0,564.7118566017316
2020-12-06,2020,1,11,49,0,0,0,0,613.4891613941614
2020-12-13,2020,1,12,50,0,0,0,0,591.1702162559662
2020-12-20,2020,1,12,51,0,0,0,0,629.680692085692
2020-12-27,2020,1,12,52,0,0,0,0,470.23579761904756
2021-01-03,2020,1,12,53,0,0,0,0,412.2669764957265
2021-01-10,2021,1,1,1,0,0,0,0,379.9542085137085
2021-01-17,2021,1,1,2,1,0,0,0,422.6374145021645
2021-01-24,2021,1,1,3,0,0,0,0,552.0159812409812
2021-01-31,2021,1,1,4,0,0,0,0,556.0358903318903
2021-02-07,2021,1,2,5,0,0,0,0,591.3854761904762
2021-02-14,2021,1,2,6,0,0,0,0,581.7346955266955
2021-02-21,2021,1,2,7,0,0,0,0,624.9037380952382
2021-02-28,2021,1,2,8,0,0,0,0,614.4822157287157
2021-03-07,2021,1,3,9,0,0,0,0,599.8081428571429
2021-03-14,2021,1,3,10,0,0,0,0,586.8057976190476
2021-03-21,2021,1,3,11,0,0,0,0,582.1303239538239
2021-03-28,2021,1,3,12,1,0,0,0,509.48726479076487
2021-04-04,2021,1,3,13,0,0,0,0,434.55928391053385
2021-04-11,2021,1,4,14,0,0,0,0,610.0622777777778
2021-04-18,2021,1,4,15,0,0,0,0,580.8373636363635
2021-04-25,2021,1,4,16,0,0,0,0,564.7101143578644
2021-05-02,2021,1,4,17,0,0,0,0,590.0398214285715
2021-05-09,2021,1,5,18,0,0,0,0,609.5857292429793
2021-05-16,2021,1,5,19,0,0,0,0,586.1676706349206
2021-05-23,2021,1,5,20,1,0,0,0,563.1135805860805
2021-05-30,2021,1,5,21,0,0,0,0,578.8291583694083
2021-06-06,2021,1,5,22,0,0,0,0,566.0361666666666
2021-06-13,2021,1,6,23,1,0,0,0,538.560234126984
2021-06-20,2021,1,6,24,1,0,0,0,544.6084444444443
2021-06-27,2021,1,6,25,0,0,0,0,556.3512175324676
2021-07-04,2021,1,6,26,0,0,0,0,524.9203531746033
2021-07-11,2021,1,7,27,1,0,0,0,491.69205591630595
2021-07-18,2021,1,7,28,0,0,0,0,569.0978322788322
2021-07-25,2021,1,7,29,0,0,0,0,546.8301349206349
2021-08-01,2021,1,7,30,0,0,0,0,601.3193683538684
2021-08-08,2021,1,8,31,0,0,0,0,615.3956885336885
2021-08-15,2021,1,8,32,0,0,0,0,637.5934412531913
2021-08-22,2021,1,8,33,1,0,0,0,557.6972261904762
2021-08-29,2021,1,8,34,0,0,0,0,586.5844376734376
2021-09-05,2021,1,8,35,0,0,0,0,579.641272893773
2021-09-12,2021,1,9,36,0,0,0,0,597.7442586580086
2021-09-19,2021,1,9,37,0,0,0,0,603.6918576978577
2021-09-26,2021,1,9,38,0,0,0,0,606.036537878788
2021-10-03,2021,1,9,39,0,0,0,0,587.7130797258297
2021-10-10,2021,1,10,40,0,0,0,0,627.2610476190476
2021-10-17,2021,1,10,41,0,0,0,0,556.9983744033744
2021-10-24,2021,1,10,42,1,0,0,0,531.8431523754024
2021-10-31,2021,1,10,43,0,0,0,0,577.1666598124099
2021-11-07,2021,1,11,44,1,0,0,0,557.2164466089466
2021-11-14,2021,1,11,45,0,0,0,0,564.4520212010212
2021-11-21,2021,1,11,46,1,0,0,0,563.3838217893217
2021-11-28,2021,1,11,47,0,0,0,0,590.0979047064047
2021-12-05,2021,1,11,48,0,0,0,0,569.9159166250416
2021-12-12,2021,1,12,49,0,0,0,0,578.3425874403375
2021-12-19,2021,1,12,50,0,0,0,0,627.976371017871
2021-12-26,2021,1,12,51,0,0,0,0,595.7292555777556
2022-01-02,2021,1,12,52,0,0,0,0,404.26730772005766
